Comment,Designator,Footprint,LCSC Part #
0.1uF,C3 C9,0603-NO,C14663
1n4148,D1,SOD-323,C438019
10K,R1 R3,RESPACK_4X0603,C102646 
10K,R4,0603-NO,C2906861 
10uF,C7 C8,0805-NO,C6119842 
22pF,C1 C2,0603-NO,C105620 
32.768,X2,XTAL3215,C519280
AP2112K-3.3,U2,SOT23-5,C22365427 
BNO055,BNO055,BNO055,C93216 
BSS138,Q3,SOT363,C22466376 
GREEN,D2,CHIPLED_0603_NOOUTLINE,C883164 
S2B-PH-SM4-TB(LF)(SN),CN1 CN2 CN3 CN4,JST-2-SMD (Version 2),C295747 
SM04B-GHS-TB(LF)(SN),J1,JST-4-SMD-1.25MM-LOCKING (Version 1),C189895 
